Author Name,Author Username,Tweet Crea,ted At,Tweet Text,Likes,Retweets,Replies,Quotes,Impressions,Bookmark Count
Jeff Tiedrich,itsJeffTiedrich,4/9/2024,20:14:45+00:00,"Republicans: ""abortion laws should be left up to the states""
Arizona Supreme Court: *outlaws abortions*
Republicans: ""WE DIDN'T MEAN IN AN ELECTION YEAR""",5081,1101,151,21,82008,32
Sasha ⚔️🎞,sashaonthebooks,4/9/2024,20:14:44+00:00,Arizona is so goddamn FUCKED.,1,0,0,0,38,0
Sahil Kapur,sahilkapur,4/9/2024,20:14:33+00:00,"DSCC Chairman @SenGaryPeters on the Arizona abortion ban ruling: “This is the exact reason why you can't leave it just to the states.”

“In this country, rights should be available for women regardless of what state they live in.”",287,106,3,2,11645,4
Dr. 5thd ☮️,Kaliburger,4/9/2024,20:14:11+00:00,Arizona healthcare is already appalling.  There is a healthcare professional shortage.  Waitlists for everything.  Doctors will now flee the state.,0,0,0,0,9,0
gerard wey,tarnishedkenobi,4/9/2024,20:14:05+00:00,It’s always been fuck Arizona.,0,0,0,0,7,0
Steve W,MrAlarm,4/9/2024,20:13:57+00:00,"Whenever Arizona is in national news stories, it’s never a good thing.",2,0,1,0,125,0
jo.omni,Omnialien,4/9/2024,20:13:56+00:00,Arizona about to ban abortion. I hope y’all vote this year.,2,0,0,0,26,0
𝔟𝔞𝔟𝔶 𝔯𝔢𝔱𝔯𝔬,nucleardrip,4/9/2024,20:13:39+00:00,"Abortion SHUT DOWN in Arizona, my birthplace and settling place of my ancestors, in a 4-2 vote!!!  🏜️👶🤍",1,0,0,0,12,0
Raymont Baratheon,RayDaTruth_,4/9/2024,20:13:38+00:00,We can now project that Joe Biden will carry Arizona’s 11 electoral votes.,0,0,0,0,69,0
J Moore,JeffMoore11489,4/9/2024,20:13:38+00:00,Poo Wee...ARIZONA STINKS!,0,0,0,0,2,0
BarrDeceived4Trump,darinp2,4/9/2024,20:13:26+00:00,This AZ Supreme Court decision should be a good reminder that even with a D at the top (Governor in Arizona and President for the country) an extreme right wing Supreme Court can still cause extreme laws. Our SCOTUS is 6-3 right wing. We need a D prez for at least 4 more years.,3,0,0,1,303,0
